id_usuario,nome,email,cpf,ano_nascimento, mes_nascimento, dia_nascimento,telefone,status
1, Bruno Azevedo, maria-claranascimento@example.com, 165.394.702-07, 1999, 6, 17, 084 6232-2597, aluno
2, Pedro Henrique Aparecida, ayladias@example.net, 915.380.627-12, 1995, 7, 12, +55 021 2791-1738, instrutor
3, Maria Lima, joao-vitor93@example.net, 046.257.189-02, 1940, 2, 18, +55 51 1584 4539, aluno
4, Maria Sophia Campos, maria-clara36@example.net, 486.370.291-40, 1983, 5, 18, 031 4162-7194, aluno
5, Asafe Rios, luisa76@example.net, 071.245.698-85, 1998, 10, 17, +55 51 5004 8577, instrutor
6, Theo Cardoso, lucca00@example.com, 584.902.716-58, 1947, 3, 19, +55 051 9149-5608, instrutor
7, Sra. Milena Vasconcelos, brunoviana@example.org, 703.584.169-57, 1965, 2, 13, +55 71 1381 8413, instrutor
8, Vitor Marques, camposluiz-felipe@example.net, 875.461.329-91, 1996, 9, 10, +55 11 7888 6845, aluno
9, Camila Aragão, marcelo73@example.net, 413.287.065-08, 1976, 8, 20, 081 6175-2180, instrutor
10, Caleb Silva, barbosajade@example.org, 649.253.170-16, 1952, 6, 28, 0900-051-6470, instrutor
11, Pedro Almeida, costelaluna@example.com, 438.217.096-69, 1945, 5, 14, +55 21 0830 7117, instrutor
12, Diego Melo, anthonynascimento@example.net, 854.619.073-93, 1966, 12, 7, +55 84 8603-4540, instrutor
13, Eloah Ribeiro, salesagatha@example.org, 213.096.785-02, 1967, 8, 5, +55 081 7201 0640, instrutor
14, Dr. Dom Montenegro, zcaldeira@example.org, 541.278.096-20, 1949, 6, 14, +55 11 5304 9697, aluno
15, Otávio Nunes, dcostela@example.org, 851.460.729-49, 1928, 6, 20, 61 1286 0376, aluno
16, Luiz Gustavo Rocha, zmarques@example.net, 986.271.403-40, 2002, 7, 9, 51 6110 8374, instrutor
17, Luiz Henrique Rocha, carvalhoyasmin@example.com, 815.947.260-94, 1933, 10, 8, 031 7934-0372, instrutor
18, Alexandre Cavalcante, vitorribeiro@example.com, 076.243.158-07, 1970, 1, 30, 21 2689 0579, instrutor
19, Dr. Rafael Borges, eloa73@example.net, 729.340.651-70, 1933, 2, 12, +55 71 7414-3390, instrutor
20, Srta. Isabela Ribeiro, almeidaluna@example.com, 713.642.598-00, 1945, 6, 15, 51 8841 1320, aluno
21, Henrique Peixoto, esterleao@example.net, 276.051.894-94, 2007, 7, 18, +55 31 5254 6407, instrutor
22, José Pedro Farias, isisramos@example.net, 943.057.612-70, 1996, 11, 18, 0900-484-4743, instrutor
23, Pedro Miguel Vasconcelos, marcelacosta@example.org, 074.162.839-22, 2006, 12, 21, +55 84 9250-4258, aluno
24, Marcos Vinicius Martins, caldeirafrancisco@example.org, 714.092.685-94, 1972, 10, 5, +55 41 1776 0581, aluno
25, Luiza Santos, correiamaysa@example.org, 274.938.650-00, 1972, 6, 4, +55 31 3288 0810, aluno
